#Theta He10 He15 diff
52.8 -1.7790099 -1.5778662 -0.201144
52.9 -1.6711812 -1.4697908 -0.20139
53.0 -1.5583370 -1.3567311 -0.201606
53.1 -1.4405510 -1.2387604 -0.201791
53.2 -1.3178990 -1.1159544 -0.201945
53.3 -1.1904596 -0.9883915 -0.202068
53.4 -1.0583136 -0.8561522 -0.202161
53.5 -0.9215442 -0.7193195 -0.202225
53.6 -0.7802369 -0.5779786 -0.202258
53.7 -0.6344796 -0.4322171 -0.202263
53.8 -0.4843621 -0.2821247 -0.202237
53.9 -0.3299767 -0.1277931 -0.202184
54.0 -0.1714175 0.0306836 -0.202101
54.1 -0.0087808 0.1932095 -0.20199
54.2 0.1578349 0.3596866 -0.201852
54.3 0.3283296 0.5300151 -0.201685
54.4 0.5026011 0.7040931 -0.201492
54.5 0.6805453 0.8818170 -0.201272
54.6 0.8620567 1.0630816 -0.201025
54.7 1.0470276 1.2477796 -0.200752
54.8 1.2353491 1.4358025 -0.200453
54.9 1.4269103 1.6270398 -0.200129
55.0 1.6215990 1.8213797 -0.199781
55.1 1.8193016 2.0187090 -0.199407
55.2 2.0199028 2.2189130 -0.19901
55.3 2.2232861 2.4218755 -0.198589
55.4 2.4293338 2.6274792 -0.198145
55.5 2.6379268 2.8356056 -0.197679
55.6 2.8489449 3.0461350 -0.19719
55.7 3.0622670 3.2589466 -0.19668
55.8 3.2777706 3.4739186 -0.196148
55.9 3.4953325 3.6909281 -0.195596
56.0 3.7148285 3.9098516 -0.195023
56.1 3.9361336 4.1305645 -0.194431
56.2 4.1591220 4.3529416 -0.19382
56.3 4.3836673 4.5768570 -0.19319
56.4 4.6096423 4.8021840 -0.192542
56.5 4.8369194 5.0287956 -0.191876
56.6 5.0653704 5.2565641 -0.191194
56.7 5.2948668 5.4853616 -0.190495
56.8 5.5252794 5.7150595 -0.18978
56.9 5.7564792 5.9455293 -0.18905
57.0 5.9883366 6.1766420 -0.188305
57.1 6.2207221 6.4082687 -0.187547
57.2 6.4535058 6.6402801 -0.186774
57.3 6.6865581 6.8725472 -0.185989
57.4 6.9197492 7.1049408 -0.185192
