#jbar theta B
3 93.5 28.0312972
3 93.6 27.7995235
3 93.7 27.5707571
3 93.8 27.3449977
3 93.9 27.1222450
3 94.0 26.9024986
3 94.1 26.6857581
3 94.2 26.4720231
3 94.3 26.2612931
3 94.4 26.0535676
3 94.5 25.8488459
3 94.6 25.6471276
3 94.7 25.4484120
3 94.8 25.2526985
3 94.9 25.0599863
3 95.0 24.8702747
3 95.1 24.6835629
3 95.2 24.4998502
3 95.3 24.3191357
3 95.4 24.1414185
3 95.5 23.9666977
3 95.6 23.7949723
3 95.7 23.6262414
3 95.8 23.4605040
3 95.9 23.2977589
3 96.0 23.1380052
3 96.1 22.9812416
3 96.2 22.8274670
3 96.3 22.6766802
3 96.4 22.5288800
3 96.5 22.3840650
3 96.6 22.2422340
3 96.7 22.1033857
3 96.8 21.9675186
3 96.9 21.8346313
3 97.0 21.7047225
3 97.1 21.5777905
3 97.2 21.4538339
3 97.3 21.3328512
3 97.4 21.2148406
3 97.5 21.0998007
3 97.6 20.9877297
3 97.7 20.8786259
3 97.8 20.7724876
3 97.9 20.6693130
3 98.0 20.5691003
3 98.1 20.4718478
3 98.2 20.3775534
3 98.3 20.2862153
3 98.4 20.1978315
3 98.5 20.1124001
3 98.6 20.0299190
3 98.7 19.9503862
3 98.8 19.8737996
3 98.9 19.8001571
3 99.0 19.7294565
3 99.1 19.6616955
3 99.2 19.5968721
3 99.3 19.5349839
3 99.4 19.4760287
3 99.5 19.4200040
3 99.6 19.3669075
3 99.7 19.3167369
3 99.8 19.2694897
3 99.9 19.2251633
3 100.0 19.1837554
3 100.1 19.1452634
3 100.2 19.1096846
3 100.3 19.0770165
3 100.4 19.0472564
3 100.5 19.0204017
3 100.6 18.9964496
3 100.7 18.9753974
3 100.8 18.9572423
3 100.9 18.9419815
3 101.0 18.9296122
3 101.1 18.9201313
3 101.2 18.9135362
3 101.3 18.9098236
3 101.4 18.9089908
3 101.5 18.9110347
3 101.6 18.9159521
3 101.7 18.9237401
3 101.8 18.9343955
3 101.9 18.9479151
3 102.0 18.9642957
3 102.1 18.9835342
3 102.2 19.0056272
3 102.3 19.0305716
3 102.4 19.0583638
3 102.5 19.0890006
3 102.6 19.1224787
3 102.7 19.1587945
3 102.8 19.1979445
3 102.9 19.2399254
3 103.0 19.2847336
3 103.1 19.3323655
3 103.2 19.3828176
3 103.3 19.4360861
3 103.4 19.4921675
3 103.5 19.5510580
3 103.6 19.6127540
3 103.7 19.6772516
3 103.8 19.7445471
3 103.9 19.8146367
3 104.0 19.8875164
3 104.1 19.9631824
3 104.2 20.0416309
3 104.3 20.1228577
3 104.4 20.2068590
3 104.5 20.2936308
3 104.6 20.3831689
3 104.7 20.4754692
3 104.8 20.5705278
3 104.9 20.6683403
3 105.0 20.7689027
3 105.1 20.8722108
3 105.2 20.9782602
3 105.3 21.0870467
3 105.4 21.1985659
3 105.5 21.3128137
3 105.6 21.4297855
3 105.7 21.5494770
3 105.8 21.6718837
3 105.9 21.7970012
3 106.0 21.9248250
3 106.1 22.0553505
3 106.2 22.1885731
3 106.3 22.3244884
3 106.4 22.4630916
3 106.5 22.6043781
3 106.6 22.7483432
3 106.7 22.8949822
3 106.8 23.0442903
3 106.9 23.1962628
3 107.0 23.3508949
3 107.1 23.5081816
3 107.2 23.6681182
3 107.3 23.8306998
3 107.4 23.9959213
3 107.5 24.1637778
3 107.6 24.3342644
3 107.7 24.5073760
3 107.8 24.6831075
3 107.9 24.8614539
3 108.0 25.0424101
3 108.1 25.2259708
3 108.2 25.4121310
3 108.3 25.6008854
3 108.4 25.7922287
3 108.5 25.9861558
3 108.6 26.1826613
3 108.7 26.3817399
3 108.8 26.5833862
3 108.9 26.7875948
3 109.0 26.9943604
3 109.1 27.2036775
3 109.2 27.4155406
3 109.3 27.6299442
3 109.4 27.8468828
3 109.5 28.0663507
3 109.6 28.2883426
3 109.7 28.5128526
3 109.8 28.7398752
3 109.9 28.9694046
3 110.0 29.2014353
3 110.1 29.4359613
3 110.2 29.6729771
3 110.3 29.9124767
3 110.4 30.1544544
3 110.5 30.3989044
3 110.6 30.6458206
3 110.7 30.8951973
3 110.8 31.1470286
3 110.9 31.4013083
3 111.0 31.6580306
3 111.1 31.9171895
3 111.2 32.1787788
3 111.3 32.4427926
3 111.4 32.7092247
3 111.5 32.9780690
3 111.6 33.2493193
3 111.7 33.5229695
3 111.8 33.7990134
3 111.9 34.0774446
3 112.0 34.3582570
3 112.1 34.6414443
3 112.2 34.9270001
3 112.3 35.2149182
3 112.4 35.5051920
3 112.5 35.7978153
3 112.6 36.0927816
3 112.7 36.3900845
3 112.8 36.6897174
3 112.9 36.9916739
3 113.0 37.2959475
3 113.1 37.6025315
3 113.2 37.9114195
3 113.3 38.2226048
3 113.4 38.5360808
3 113.5 38.8518407
3 113.6 39.1698780
3 113.7 39.4901859
3 113.8 39.8127577
3 113.9 40.1375867
3 114.0 40.4646659
3 114.1 40.7939887
3 114.2 41.1255481
3 114.3 41.4593374
3 114.4 41.7953497
3 114.5 42.1335779
3 114.6 42.4740152
3 114.7 42.8166547
3 114.8 43.1614893
3 114.9 43.5085120
3 115.0 43.8577159
3 115.1 44.2090937
3 115.2 44.5626385
3 115.3 44.9183432
3 115.4 45.2762006
3 115.5 45.6362035
3 115.6 45.9983448
3 115.7 46.3626173
3 115.8 46.7290138
3 115.9 47.0975269
3 116.0 47.4681495
3 116.1 47.8408742
